iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC,n_labeled_users
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,SVM,numeric,11,False,0.625,0.5357142857142857,0.625,0.576923076923077,0.08333333333333333,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,AdaBoost,numeric,11,True,0.75,0.5625,0.75,0.6428571428571428,0.5,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,AdaBoost,numeric,11,False,0.75,0.5625,0.75,0.6428571428571428,0.5,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,XGBoost,numeric,11,True,0.25,0.0625,0.25,0.1,0.5,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,XGBoost,numeric,11,False,0.75,0.5625,0.75,0.6428571428571428,0.16666666666666666,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,LogReg,numeric+iran,31,True,0.625,0.5357142857142857,0.625,0.576923076923077,0.3333333333333333,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,LogReg,numeric+iran,31,False,0.625,0.5357142857142857,0.625,0.576923076923077,0.3333333333333333,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,DecisionTree,numeric+iran,31,True,0.625,0.5357142857142857,0.625,0.576923076923077,0.4166666666666667,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,DecisionTree,numeric+iran,31,False,0.625,0.5357142857142857,0.625,0.576923076923077,0.4166666666666667,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,RandomForest,numeric+iran,31,True,0.625,0.5357142857142857,0.625,0.576923076923077,0.8333333333333334,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,RandomForest,numeric+iran,31,False,0.75,0.5625,0.75,0.6428571428571428,0.6666666666666666,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,SVM,numeric+iran,31,True,0.5,0.5,0.5,0.5,0.25,100
1,locals_vs_diaspora,2,2,6,0,2,K-Fold,5,SVM,numeric+iran,31,False,0.5,0.5,0.5,0.5,0.25,100
